Sheet1/Response ID,Sheet1/Would you work for a company whose mission is not clearly defined and publicly posted.,Sheet1/How likely would you work for a company whose mission is misaligned with their public actions or even their product ?,Sheet1/How likely would you work for a company whose mission is not bringing social impact ?,"Sheet1/For the First 3 years of your career, what is your minimum expected monthly salary in Hand?","Sheet1/After 5 years of your career from now, what is your minimum expected monthly salary in Hand?",Sheet1/Would you work for a company that has Laid-Off Employees recently ?
967,No,Will NOT work for them,3,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
968,Yes,Will work for them,5,31k to 40k,131k to 150k,No
969,Yes,Will work for them,2,11k to 15k,30k to 50k,Yes
970,No,Will NOT work for them,2,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
971,No,Will NOT work for them,5,26k to 30k,91k to 110k,I have NO other choice
972,No,Will NOT work for them,7,21k to 25k,50k to 70k,Yes
973,Yes,Will NOT work for them,5,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
974,No,Will NOT work for them,1,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
975,No,Will NOT work for them,7,16k to 20k,50k to 70k,I have NO other choice
976,Yes,Will work for them,8,26k to 30k,50k to 70k,Yes
977,No,Will NOT work for them,7,21k to 25k,50k to 70k,No
978,No,Will NOT work for them,7,31k to 40k,91k to 110k,Yes
979,No,Will NOT work for them,1,26k to 30k,131k to 150k,Yes
980,No,Will NOT work for them,1,26k to 30k,50k to 70k,No
981,No,Will NOT work for them,5,>50k,>151k,Yes
982,No,Will NOT work for them,6,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
983,No,Will NOT work for them,7,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
984,No,Will NOT work for them,7,26k to 30k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
985,No,Will NOT work for them,4,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
986,Yes,Will work for them,6,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
987,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
988,No,Will work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
989,No,Will NOT work for them,8,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
990,No,Will NOT work for them,6,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
991,No,Will NOT work for them,5,26k to 30k,71k to 90k,No
992,No,Will NOT work for them,8,16k to 20k,71k to 90k,No
993,No,Will NOT work for them,7,21k to 25k,111k to 130k,No
994,No,Will NOT work for them,4,>50k,>151k,No
995,Yes,Will NOT work for them,8,5K to 10K,30k to 50k,I have NO other choice
996,Yes,Will work for them,4,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
997,No,Will NOT work for them,2,>50k,>151k,No
998,No,Will NOT work for them,7,26k to 30k,30k to 50k,I have NO other choice
999,No,Will NOT work for them,5,26k to 30k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1000,No,Will NOT work for them,2,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1001,Yes,Will work for them,10,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1002,No,Will NOT work for them,5,>50k,91k to 110k,No
1003,No,Will NOT work for them,3,26k to 30k,91k to 110k,No
1004,No,Will NOT work for them,2,>50k,71k to 90k,No
1005,No,Will NOT work for them,7,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1006,No,Will NOT work for them,4,41k to 50k,71k to 90k,I have NO other choice
1007,No,Will NOT work for them,8,16k to 20k,50k to 70k,I have NO other choice
1008,Yes,Will NOT work for them,7,41k to 50k,71k to 90k,No
1009,No,Will NOT work for them,2,11k to 15k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1010,No,Will NOT work for them,2,>50k,91k to 110k,No
1011,No,Will NOT work for them,7,31k to 40k,71k to 90k,I have NO other choice
1012,No,Will NOT work for them,7,>50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1013,No,Will NOT work for them,5,41k to 50k,131k to 150k,No
1014,Yes,Will NOT work for them,6,26k to 30k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1015,No,Will work for them,6,41k to 50k,131k to 150k,Yes
1016,No,Will NOT work for them,8,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1017,No,Will NOT work for them,4,41k to 50k,111k to 130k,Yes
1018,Yes,Will work for them,5,31k to 40k,>151k,No
1019,Yes,Will NOT work for them,8,41k to 50k,131k to 150k,No
1020,No,Will NOT work for them,1,5K to 10K,71k to 90k,No
1021,No,Will NOT work for them,4,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1022,Yes,Will work for them,7,31k to 40k,91k to 110k,I have NO other choice
1023,No,Will work for them,7,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1024,Yes,Will work for them,10,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1025,No,Will NOT work for them,8,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1026,No,Will NOT work for them,6,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1027,Yes,Will work for them,8,>50k,71k to 90k,No
1028,No,Will NOT work for them,5,>50k,91k to 110k,No
1029,No,Will NOT work for them,5,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1030,No,Will work for them,8,>50k,>151k,No
1031,No,Will NOT work for them,5,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1032,Yes,Will NOT work for them,4,5K to 10K,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1033,No,Will NOT work for them,8,41k to 50k,91k to 110k,Yes
1034,No,Will NOT work for them,4,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1035,Yes,Will NOT work for them,5,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1036,No,Will NOT work for them,4,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1037,No,Will NOT work for them,2,21k to 25k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1038,Yes,Will NOT work for them,7,11k to 15k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1039,No,Will NOT work for them,5,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1040,No,Will NOT work for them,8,11k to 15k,50k to 70k,No
1041,No,Will NOT work for them,5,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1042,No,Will NOT work for them,5,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1043,No,Will NOT work for them,5,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1044,No,Will NOT work for them,6,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1045,Yes,Will NOT work for them,6,21k to 25k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1046,Yes,Will NOT work for them,8,11k to 15k,50k to 70k,Yes
1047,No,Will work for them,1,5K to 10K,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1048,Yes,Will NOT work for them,8,31k to 40k,30k to 50k,No
1049,No,Will NOT work for them,2,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1050,No,Will NOT work for them,7,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1051,No,Will work for them,10,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1052,No,Will NOT work for them,5,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1053,No,Will NOT work for them,1,41k to 50k,91k to 110k,No
1054,Yes,Will work for them,5,26k to 30k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1055,No,Will NOT work for them,5,31k to 40k,91k to 110k,No
1056,No,Will NOT work for them,8,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1057,No,Will NOT work for them,10,41k to 50k,>151k,I have NO other choice
1058,No,Will NOT work for them,2,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1059,No,Will NOT work for them,4,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1060,No,Will NOT work for them,6,41k to 50k,>151k,I have NO other choice
1061,Yes,Will work for them,6,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1062,No,Will NOT work for them,5,41k to 50k,71k to 90k,I have NO other choice
1063,No,Will NOT work for them,7,11k to 15k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1064,No,Will NOT work for them,10,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1065,No,Will work for them,7,31k to 40k,>151k,"Yes, I Understand this is gonna happen everywhere"
1066,Yes,Will NOT work for them,8,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1067,No,Will NOT work for them,7,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1068,No,Will NOT work for them,1,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1069,No,Will NOT work for them,5,21k to 25k,71k to 90k,No
1070,No,Will NOT work for them,7,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1071,No,Will NOT work for them,6,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1072,No,Will work for them,8,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1073,Yes,Will NOT work for them,3,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1074,Yes,Will work for them,9,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1075,No,Will NOT work for them,9,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1076,No,Will NOT work for them,1,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1077,No,Will NOT work for them,5,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1078,No,Will NOT work for them,4,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1079,Yes,Will work for them,10,26k to 30k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1080,Yes,Will work for them,7,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1081,Yes,Will NOT work for them,5,16k to 20k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1082,No,Will NOT work for them,8,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1083,Yes,Will NOT work for them,7,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1084,No,Will NOT work for them,3,26k to 30k,111k to 130k,No
1085,No,Will NOT work for them,8,31k to 40k,111k to 130k,No
1086,No,Will NOT work for them,1,11k to 15k,50k to 70k,No
1087,No,Will work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1088,No,Will NOT work for them,1,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1089,No,Will NOT work for them,5,21k to 25k,71k to 90k,No
1090,No,Will NOT work for them,7,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1091,No,Will NOT work for them,7,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1092,Yes,Will work for them,5,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1093,No,Will NOT work for them,7,26k to 30k,71k to 90k,Yes
1094,Yes,Will work for them,3,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1095,No,Will NOT work for them,1,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1096,Yes,Will NOT work for them,8,26k to 30k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1097,No,Will NOT work for them,5,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1098,Yes,Will NOT work for them,6,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1099,No,Will NOT work for them,8,41k to 50k,50k to 70k,No
1100,Yes,Will work for them,8,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1101,No,Will NOT work for them,5,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1102,Yes,Will work for them,10,41k to 50k,91k to 110k,Yes
1103,No,Will NOT work for them,5,41k to 50k,30k to 50k,I have NO other choice
1104,No,Will NOT work for them,8,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1105,No,Will NOT work for them,1,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1106,No,Will NOT work for them,1,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1107,No,Will NOT work for them,1,31k to 40k,71k to 90k,No
1108,No,Will NOT work for them,8,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1109,No,Will NOT work for them,5,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1110,Yes,Will work for them,7,16k to 20k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1111,Yes,Will NOT work for them,7,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1112,No,Will NOT work for them,9,21k to 25k,50k to 70k,Yes
1113,No,Will NOT work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1114,Yes,Will NOT work for them,2,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1115,No,Will NOT work for them,1,41k to 50k,111k to 130k,No
1116,Yes,Will NOT work for them,7,>50k,>151k,No
1117,Yes,Will work for them,5,41k to 50k,>151k,No
1118,No,Will NOT work for them,6,26k to 30k,71k to 90k,No
1119,No,Will NOT work for them,2,>50k,131k to 150k,Yes
1120,No,Will work for them,8,21k to 25k,50k to 70k,Yes
1121,No,Will NOT work for them,5,>50k,>151k,No
1122,No,Will work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1123,No,Will NOT work for them,1,26k to 30k,50k to 70k,No
1124,No,Will NOT work for them,1,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1125,No,Will work for them,8,16k to 20k,50k to 70k,I have NO other choice
1126,No,Will NOT work for them,6,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1127,No,Will NOT work for them,8,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1128,Yes,Will work for them,5,21k to 25k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1129,Yes,Will NOT work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1130,No,Will NOT work for them,3,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1131,No,Will NOT work for them,5,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1132,No,Will NOT work for them,5,11k to 15k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1133,No,Will NOT work for them,1,26k to 30k,50k to 70k,No
1134,No,Will NOT work for them,1,>50k,131k to 150k,No
1135,No,Will NOT work for them,4,26k to 30k,111k to 130k,I have NO other choice
1136,No,Will NOT work for them,4,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1137,No,Will NOT work for them,8,>50k,131k to 150k,Yes
1138,Yes,Will NOT work for them,4,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1139,No,Will NOT work for them,5,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1140,No,Will NOT work for them,10,41k to 50k,111k to 130k,I have NO other choice
1141,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1142,No,Will NOT work for them,9,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1143,No,Will NOT work for them,2,41k to 50k,91k to 110k,Yes
1144,No,Will NOT work for them,1,31k to 40k,91k to 110k,No
1145,No,Will NOT work for them,3,>50k,>151k,No
1146,No,Will NOT work for them,6,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1147,Yes,Will NOT work for them,5,41k to 50k,30k to 50k,No
1148,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1149,No,Will NOT work for them,2,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1150,No,Will NOT work for them,8,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1151,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1152,Yes,Will work for them,10,26k to 30k,71k to 90k,No
1153,No,Will NOT work for them,8,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1154,No,Will work for them,6,>50k,50k to 70k,No
1155,No,Will NOT work for them,5,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1156,No,Will NOT work for them,8,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1157,Yes,Will work for them,9,26k to 30k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1158,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1159,No,Will NOT work for them,3,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1160,No,Will NOT work for them,1,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1161,No,Will NOT work for them,3,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1162,No,Will NOT work for them,5,5K to 10K,50k to 70k,Yes
1163,No,Will NOT work for them,3,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1164,No,Will NOT work for them,5,>50k,>151k,No
1165,No,Will NOT work for them,3,31k to 40k,71k to 90k,No
1166,Yes,Will work for them,5,31k to 40k,>151k,I have NO other choice
1167,No,Will NOT work for them,6,26k to 30k,71k to 90k,No
1168,No,Will NOT work for them,10,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1169,No,Will work for them,4,>50k,>151k,Yes
1170,No,Will NOT work for them,8,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1171,No,Will NOT work for them,7,21k to 25k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1172,No,Will NOT work for them,6,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1173,Yes,Will NOT work for them,2,41k to 50k,131k to 150k,No
1174,No,Will NOT work for them,6,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1175,No,Will NOT work for them,7,21k to 25k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1176,Yes,Will work for them,7,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1177,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1178,Yes,Will work for them,8,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1179,No,Will NOT work for them,6,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1180,No,Will NOT work for them,2,31k to 40k,111k to 130k,No
1181,No,Will NOT work for them,5,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1182,No,Will NOT work for them,6,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1183,No,Will NOT work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1184,No,Will NOT work for them,5,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1185,No,Will NOT work for them,3,41k to 50k,>151k,No
1186,Yes,Will work for them,3,31k to 40k,>151k,I have NO other choice
1187,No,Will NOT work for them,10,31k to 40k,111k to 130k,Yes
1188,No,Will NOT work for them,5,21k to 25k,50k to 70k,No
1189,Yes,Will work for them,10,41k to 50k,>151k,No
1190,No,Will NOT work for them,5,21k to 25k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1191,No,Will NOT work for them,3,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1192,No,Will NOT work for them,1,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1193,No,Will work for them,8,26k to 30k,131k to 150k,No
1194,No,Will NOT work for them,1,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1195,Yes,Will work for them,10,16k to 20k,71k to 90k,No
1196,No,Will NOT work for them,5,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1197,No,Will NOT work for them,1,41k to 50k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1198,No,Will NOT work for them,2,41k to 50k,50k to 70k,Yes
1199,No,Will NOT work for them,1,26k to 30k,91k to 110k,No
1200,No,Will NOT work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1201,No,Will NOT work for them,1,26k to 30k,71k to 90k,No
1202,No,Will NOT work for them,3,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1203,Yes,Will NOT work for them,3,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1204,No,Will NOT work for them,7,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1205,No,Will NOT work for them,7,21k to 25k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1206,No,Will NOT work for them,6,31k to 40k,91k to 110k,No
1207,Yes,Will NOT work for them,9,26k to 30k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1208,Yes,Will work for them,10,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1209,Yes,Will work for them,10,41k to 50k,91k to 110k,Yes
1210,No,Will work for them,10,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1211,No,Will NOT work for them,4,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1212,Yes,Will NOT work for them,2,41k to 50k,91k to 110k,Yes
1213,No,Will NOT work for them,6,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1214,No,Will NOT work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1215,No,Will NOT work for them,6,5K to 10K,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1216,No,Will NOT work for them,4,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1217,No,Will NOT work for them,4,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1218,No,Will work for them,6,>50k,71k to 90k,No
1219,No,Will NOT work for them,1,41k to 50k,71k to 90k,No
1220,Yes,Will NOT work for them,8,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1221,No,Will NOT work for them,6,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1222,No,Will NOT work for them,10,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1223,No,Will NOT work for them,1,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1224,No,Will NOT work for them,5,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1225,No,Will NOT work for them,5,11k to 15k,71k to 90k,No
1226,No,Will NOT work for them,4,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1227,Yes,Will work for them,5,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1228,No,Will work for them,8,26k to 30k,71k to 90k,Yes
1229,Yes,Will NOT work for them,2,21k to 25k,91k to 110k,I have NO other choice
1230,No,Will NOT work for them,8,26k to 30k,71k to 90k,I have NO other choice
1231,No,Will NOT work for them,8,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1232,No,Will NOT work for them,5,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1233,No,Will NOT work for them,5,>50k,>151k,No
1234,No,Will NOT work for them,7,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1235,No,Will NOT work for them,4,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1236,No,Will NOT work for them,5,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1237,No,Will NOT work for them,5,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1238,Yes,Will work for them,8,26k to 30k,71k to 90k,I have NO other choice
1239,Yes,Will NOT work for them,5,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1240,No,Will NOT work for them,2,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1241,No,Will NOT work for them,5,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1242,Yes,Will work for them,5,>50k,131k to 150k,Yes
1243,No,Will NOT work for them,8,>50k,>151k,No
1244,Yes,Will NOT work for them,9,21k to 25k,71k to 90k,No
1245,No,Will NOT work for them,7,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1246,No,Will work for them,7,26k to 30k,30k to 50k,Yes
1247,Yes,Will work for them,8,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1248,No,Will NOT work for them,5,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1249,No,Will NOT work for them,5,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1250,No,Will work for them,8,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1251,No,Will NOT work for them,7,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1252,No,Will NOT work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1253,Yes,Will NOT work for them,3,21k to 25k,50k to 70k,No
1254,No,Will NOT work for them,7,41k to 50k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1255,No,Will NOT work for them,7,26k to 30k,91k to 110k,No
1256,No,Will NOT work for them,10,41k to 50k,91k to 110k,No
1257,No,Will NOT work for them,10,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1258,Yes,Will work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1259,Yes,Will NOT work for them,10,11k to 15k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1260,No,Will NOT work for them,5,21k to 25k,>151k,"Yes, I Understand this is gonna happen everywhere"
1261,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1262,Yes,Will NOT work for them,8,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1263,No,Will NOT work for them,1,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1264,No,Will NOT work for them,6,>50k,>151k,Yes
1265,No,Will NOT work for them,7,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1266,No,Will NOT work for them,5,>50k,>151k,I have NO other choice
1267,No,Will NOT work for them,5,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1268,No,Will work for them,8,26k to 30k,71k to 90k,Yes
1269,No,Will NOT work for them,1,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1270,No,Will NOT work for them,8,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1271,Yes,Will work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1272,No,Will NOT work for them,4,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1273,No,Will NOT work for them,3,26k to 30k,50k to 70k,No
1274,No,Will NOT work for them,4,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1275,Yes,Will work for them,9,21k to 25k,>151k,"Yes, I Understand this is gonna happen everywhere"
1276,No,Will NOT work for them,1,16k to 20k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1277,Yes,Will NOT work for them,7,>50k,131k to 150k,No
1278,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1279,Yes,Will NOT work for them,8,26k to 30k,30k to 50k,No
1280,No,Will NOT work for them,5,>50k,91k to 110k,No
1281,No,Will NOT work for them,10,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1282,Yes,Will work for them,3,41k to 50k,91k to 110k,Yes
1283,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
