Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
1,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,273005
2,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,851129
3,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,123106
4,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
5,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,301019
6,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,768028
7,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
8,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
9,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
10,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,201310
11,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
12,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,639111
13,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,136119
14,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,678104
15,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office
16,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office
17,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,561203
18,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,515201
19,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,211002
20,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,577002
21,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
22,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,301019
23,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,680613
24,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,852201
25,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
26,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,303007
27,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,852201,"""Design and Creative strategy in any company"
28,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,27287
29,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,700063
30,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,577528
31,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,122003
32,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,122003
33,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,440002
34,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,852201
35,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,465674,"""Design and Creative strategy in any company"
36,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,561203
37,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,577004
38,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,826004
39,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,826004
40,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,515003,"""Design and Creative strategy in any company"
41,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,496001
42,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,713104
43,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,416001,"""Business Operations in any organization"
44,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,826004
45,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office
46,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,110016
47,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,131001
48,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,505001,"""Build and develop a Team"
49,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,600064
50,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,600129,"""Manage and drive End-to-End Projects or Products"
51,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,263126
52,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
53,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,785001
54,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,629004
55,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,600089
56,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500005
57,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,452007
58,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,782001,"""Design and Creative strategy in any company"
59,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office,248001
60,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,785001
61,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,852218,"""Build and develop a Team"
62,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,411038
63,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,282007,"""Design and Creative strategy in any company"
64,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
65,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,425301,"""Business Operations in any organization"
66,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office,828122
67,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,244901
68,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,641021
69,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,560060,"""Design and Creative strategy in any company"
70,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,560098
71,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,457001
72,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,524412,"""Teaching in any of the institutes/online or Offline"
73,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,110059,"""Design and Creative strategy in any company"
74,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,425001,"""Look deeply into Data and generate insights"
75,My Parents,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,425001
76,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,851101,"""Design and Creative strategy in any company"
77,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,431009,"""Manage and drive End-to-End Projects or Products"
78,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office
79,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,828109
80,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office
81,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,224001
82,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,110092
83,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,500018
84,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,533342,"""Manage and drive End-to-End Projects or Products"
85,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,600053
86,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,425001,"""Teaching in any of the institutes/online or Offline"
87,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,370110,"""Business Operations in any organization"
88,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
89,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
90,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
91,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,246701
92,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,560060
93,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,520007,"""Build and develop a Team"
94,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,641663
95,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office
96,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,607104
97,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,609305,"""Design and Creative strategy in any company"
98,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,607104,"""Look deeply into Data and generate insights"
99,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,425001
100,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,560029
101,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office,400013
102,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,431109
103,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,133001
104,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,785001
105,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,561203
106,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,852131
107,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,560072,"""Business Operations in any organization"
108,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,410206
109,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,83024
110,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,474009
111,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office,400101
112,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,560090
113,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,380015,"""Design and Develop amazing software"
114,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,700111
115,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,281001
116,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,517112
117,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,711315
118,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,400012,"""Manage and drive End-to-End Projects or Products"
119,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
120,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,380015
121,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office
122,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,425401
123,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,425002,"""Design and Creative strategy in any company"
124,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,760001
125,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,226023,"""Manage and drive End-to-End Projects or Products"
126,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,560077,"""Teaching in any of the institutes/online or Offline"
127,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,302039,"""Design and Creative strategy in any company"
128,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,751010
129,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,81827
130,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
131,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,101201,"""Business Operations in any organization"
132,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,605401
133,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,753003
134,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,416509
135,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,400099
136,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,301001
137,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,302017,"""Design and Creative strategy in any company"
138,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,560096
139,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,431005
140,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,620005
141,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,786001
142,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,422010,"""Teaching in any of the institutes/online or Offline"
143,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,110044
144,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,700156
145,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office
146,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,410505
147,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,151110,"""Design and Creative strategy in any company"
148,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
149,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,721445
150,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,251309
151,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,713216,"""Design and Creative strategy in any company"
152,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,670102,"""Business Operations in any organization"
153,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,251309
154,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office,721302
155,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,382421,"""Design and Creative strategy in any company"
156,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,600016,"""Business Operations in any organization"
157,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,560037
158,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,122011
159,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,123106
160,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,121001
161,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,363310,"""Design and Creative strategy in any company"
162,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,382010
163,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,394210,"""Look deeply into Data and generate insights"
164,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,382024
165,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
166,My Parents,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,503175
167,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,533103
168,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Every Day Office Environment
169,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,600036,"""Design and Creative strategy in any company"
170,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,605110
171,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,800009,"""Design and Creative strategy in any company"
172,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,248002
173,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,845438
174,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,800006,"""Teaching in any of the institutes/online or Offline"
175,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,800024
176,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,248002
177,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,502285,"""Business Operations in any organization"
178,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,123106
179,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,365541
180,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,425001
181,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,425001
182,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,424206,"""Manage and drive End-to-End Projects or Products"
183,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,122004
184,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,246701
185,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,412308,"""Business Operations in any organization"
186,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office,248001
187,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500001
188,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office
189,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,301018
190,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,680307
191,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,607102
192,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,605110
193,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,680586
194,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,431001
195,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,411046
196,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,431105
197,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,110024
198,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,431001
199,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,425001
200,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
201,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,413525
202,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
203,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,605110,"""Business Operations in any organization"
204,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,673507
205,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,796701
206,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,1234
207,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,605110
208,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,605501,"""Teaching in any of the institutes/online or Offline"
209,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,604102
210,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,605102
211,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,607402,"""Design and Creative strategy in any company"
212,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,605003
213,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,607003
214,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,605110,"""Teaching in any of the institutes/online or Offline"
215,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,605008
216,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,605110,"""Design and Creative strategy in any company"
217,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,605110
218,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,605102
219,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,2004
220,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,605005,"""Teaching in any of the institutes/online or Offline"
221,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,605007
222,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,605009,"""Design and Creative strategy in any company"
223,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,605007,"""Design and Creative strategy in any company"
224,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,605014
225,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,605107,"""Design and Creative strategy in any company"
226,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,605009,"""Design and Creative strategy in any company"
227,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,605001
228,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,605110
229,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,442406
230,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,605101
231,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
232,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,722207
233,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,604102
234,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,122002
235,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,605102
236,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,607001
237,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,605102
238,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,500026,"""Teaching in any of the institutes/online or Offline"
239,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,500030
240,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,462043
241,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
242,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,605004
243,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,700041,"""Design and Creative strategy in any company"
244,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,700041,"""Design and Creative strategy in any company"
245,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,828114
246,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,85368
247,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,81369
248,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,81241
249,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,176022
250,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,
251,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,500078
252,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,81241
253,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office
254,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,385001,"""Design and Creative strategy in any company"
255,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,385001,"""Design and Creative strategy in any company"
256,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,380052
257,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office,576213
258,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,576213
